[-t, /Users/jiangjunhao/Desktop/MLC-master/code/temp/BayesianClassifierChain_ESKDB/tmc2007/train.arff, -T, /Users/jiangjunhao/Desktop/MLC-master/code/temp/BayesianClassifierChain_ESKDB/tmc2007/test.arff, -K, 2, -S, SKDB_R, -I, 10, -L, 2, -E, 2]
Dataset : train
data size 	14305
Attribute size 	1503
class size 	2

Started learning
The 0th SKDB classifier has been built and smoothed
The 1th SKDB classifier has been built and smoothed

Started testing
testID:	Prob(0)	Prob(1)	Prediction	TrueClass
test example 0:	 0.984	 0.016	0	0
test example 1:	 0.935	 0.065	0	0
test example 2:	 0.997	 0.003	0	0
test example 3:	 0.999	 0.001	0	0
test example 4:	 0.991	 0.009	0	0
test example 5:	 0.996	 0.004	0	0
test example 6:	 0.994	 0.006	0	0
test example 7:	 0.147	 0.853	1	1
test example 8:	 0.993	 0.007	0	0
test example 9:	 0.989	 0.011	0	0
test example 10:	 0.993	 0.007	0	0
test example 11:	 0.997	 0.003	0	0
test example 12:	 0.996	 0.004	0	0
test example 13:	 0.854	 0.146	0	0
test example 14:	 0.999	 0.001	0	0
test example 15:	 0.875	 0.125	0	0
test example 16:	 0.968	 0.032	0	1
test example 17:	 0.978	 0.022	0	0
test example 18:	 0.078	 0.922	1	0
test example 19:	 0.862	 0.138	0	0
test example 20:	 0.986	 0.014	0	1
test example 21:	 0.976	 0.024	0	1
test example 22:	 0.077	 0.923	1	0
test example 23:	 0.991	 0.009	0	0
test example 24:	 0.472	 0.528	1	0
test example 25:	 0.993	 0.007	0	0
test example 26:	 0.909	 0.091	0	0
test example 27:	 0.51 	 0.49 	0	1
test example 28:	 0.361	 0.639	1	0
test example 29:	 0.999	 0.001	0	0
test example 30:	 0.266	 0.734	1	0
test example 31:	 0.637	 0.363	0	0
test example 32:	 0.952	 0.048	0	0
test example 33:	 0.994	 0.006	0	0
test example 34:	 0.996	 0.004	0	0
test example 35:	 0.997	 0.003	0	0
test example 36:	 0.994	 0.006	0	0
test example 37:	 0.914	 0.086	0	1
test example 38:	 0.964	 0.036	0	0
test example 39:	 0.977	 0.023	0	1
test example 40:	 0.989	 0.011	0	0
test example 41:	 0.524	 0.476	0	0
test example 42:	 0.993	 0.007	0	0
test example 43:	 0.994	 0.006	0	0
test example 44:	 0.471	 0.529	1	0
test example 45:	 0.854	 0.146	0	0
test example 46:	 0.984	 0.016	0	0
test example 47:	 0.13 	 0.87 	1	0
test example 48:	 0.963	 0.037	0	1
test example 49:	 0.819	 0.181	0	0
test example 50:	 0.989	 0.011	0	0
test example 51:	 0.999	 0.001	0	0
test example 52:	 0.997	 0.003	0	0
test example 53:	 0.984	 0.016	0	0
test example 54:	 0.847	 0.153	0	0
test example 55:	 0.991	 0.009	0	1
test example 56:	 0.032	 0.968	1	1
test example 57:	 0.983	 0.017	0	0
test example 58:	 0.997	 0.003	0	0
test example 59:	 0.97 	 0.03 	0	1
test example 60:	 0.73 	 0.27 	0	1
test example 61:	 0.974	 0.026	0	0
test example 62:	 0.994	 0.006	0	0
test example 63:	 0.993	 0.007	0	0
test example 64:	 0.966	 0.034	0	0
test example 65:	 0.784	 0.216	0	0
test example 66:	 0.967	 0.033	0	0
test example 67:	 0.983	 0.017	0	0
test example 68:	 0.985	 0.015	0	0
test example 69:	 0.322	 0.678	1	1
test example 70:	 0.982	 0.018	0	0
test example 71:	 0.947	 0.053	0	0
test example 72:	 0.995	 0.005	0	0
test example 73:	 0.935	 0.065	0	0
test example 74:	 0.351	 0.649	1	1
test example 75:	 0.376	 0.624	1	0
test example 76:	 0.993	 0.007	0	0
test example 77:	 0.732	 0.268	0	0
test example 78:	 0.913	 0.087	0	0
test example 79:	 0.993	 0.007	0	0
test example 80:	 0.989	 0.011	0	0
test example 81:	 0.997	 0.003	0	0
test example 82:	 0.996	 0.004	0	0
test example 83:	 0.817	 0.183	0	0
test example 84:	 0.993	 0.007	0	0
test example 85:	 0.994	 0.006	0	0
test example 86:	 0.999	 0.001	0	0
test example 87:	 0.979	 0.021	0	0
test example 88:	 0.407	 0.593	1	1
test example 89:	 0.958	 0.042	0	0
test example 90:	 0.99 	 0.01 	0	0
test example 91:	 0.991	 0.009	0	0
test example 92:	 0.5  	 0.5  	1	1
test example 93:	 0.985	 0.015	0	0
test example 94:	 0.985	 0.015	0	0
test example 95:	 0.994	 0.006	0	0
test example 96:	 0.922	 0.078	0	1
test example 97:	 0.991	 0.009	0	0
test example 98:	 0.165	 0.835	1	1
test example 99:	 0.985	 0.015	0	0
test example 100:	 0.977	 0.023	0	0
test example 101:	 0.979	 0.021	0	0
test example 102:	 0.993	 0.007	0	0
test example 103:	 0.994	 0.006	0	0
test example 104:	 0.78 	 0.22 	0	1
test example 105:	 0.477	 0.523	1	0
test example 106:	 0.986	 0.014	0	0
test example 107:	 0.997	 0.003	0	0
test example 108:	 0.027	 0.973	1	1
test example 109:	 0.992	 0.008	0	0
test example 110:	 0.779	 0.221	0	0
test example 111:	 0.604	 0.396	0	1
test example 112:	 0.961	 0.039	0	0
test example 113:	 0.998	 0.002	0	0
test example 114:	 0.822	 0.178	0	0
test example 115:	 0.926	 0.074	0	0
test example 116:	 0.968	 0.032	0	0
test example 117:	 0.991	 0.009	0	0
test example 118:	 0.905	 0.095	0	0
test example 119:	 0.994	 0.006	0	0
test example 120:	 0.905	 0.095	0	0
test example 121:	 0.98 	 0.02 	0	0
test example 122:	 0.992	 0.008	0	0
test example 123:	 0.185	 0.815	1	1
test example 124:	 0.044	 0.956	1	1
test example 125:	 0.994	 0.006	0	0
test example 126:	 0.09 	 0.91 	1	1
test example 127:	 1    	 0    	0	0
test example 128:	 0.925	 0.075	0	0
test example 129:	 0.877	 0.123	0	0
test example 130:	 0.423	 0.577	1	0
test example 131:	 0.99 	 0.01 	0	0
test example 132:	 0.962	 0.038	0	0
test example 133:	 0.309	 0.691	1	1
test example 134:	 0.968	 0.032	0	1
test example 135:	 0.871	 0.129	0	0
test example 136:	 0.989	 0.011	0	0
test example 137:	 0.952	 0.048	0	1
test example 138:	 0.227	 0.773	1	0
test example 139:	 0.817	 0.183	0	0
test example 140:	 0.998	 0.002	0	0
test example 141:	 0.994	 0.006	0	0
test example 142:	 0.999	 0.001	0	0
test example 143:	 0.996	 0.004	0	0
test example 144:	 0.997	 0.003	0	0
test example 145:	 0.983	 0.017	0	0
test example 146:	 0.958	 0.042	0	0
test example 147:	 0.617	 0.383	0	0
test example 148:	 0.983	 0.017	0	0
test example 149:	 0.991	 0.009	0	0
test example 150:	 0.989	 0.011	0	0
test example 151:	 0.919	 0.081	0	0
test example 152:	 1    	 0    	0	0
test example 153:	 0.995	 0.005	0	0
test example 154:	 0.709	 0.291	0	0
test example 155:	 0.898	 0.102	0	0
test example 156:	 0.991	 0.009	0	0
test example 157:	 0.43 	 0.57 	1	0
