[-t, /Users/jiangjunhao/Desktop/MLC-master/code/temp/ClassifierChain_ESKDB/medical/train.arff, -T, /Users/jiangjunhao/Desktop/MLC-master/code/temp/ClassifierChain_ESKDB/medical/test.arff, -K, 2, -S, SKDB_R, -I, 10, -L, 2, -E, 2]
Dataset : train
data size 	484
Attribute size 	1493
class size 	2

Started learning
The 0th SKDB classifier has been built and smoothed
The 1th SKDB classifier has been built and smoothed

Started testing
testID:	Prob(0)	Prob(1)	Prediction	TrueClass
test example 0:	 1    	 0    	0	0
test example 1:	 1    	 0    	0	0
test example 2:	 1    	 0    	0	0
test example 3:	 1    	 0    	0	0
test example 4:	 1    	 0    	0	0
test example 5:	 1    	 0    	0	0
test example 6:	 1    	 0    	0	0
test example 7:	 1    	 0    	0	0
test example 8:	 1    	 0    	0	0
test example 9:	 1    	 0    	0	0
test example 10:	 1    	 0    	0	0
test example 11:	 1    	 0    	0	0
test example 12:	 1    	 0    	0	0
test example 13:	 1    	 0    	0	0
test example 14:	 1    	 0    	0	0
test example 15:	 1    	 0    	0	0
test example 16:	 1    	 0    	0	0
test example 17:	 1    	 0    	0	0
test example 18:	 1    	 0    	0	0
test example 19:	 1    	 0    	0	0
test example 20:	 1    	 0    	0	0
test example 21:	 1    	 0    	0	0
test example 22:	 1    	 0    	0	0
test example 23:	 1    	 0    	0	0
test example 24:	 1    	 0    	0	0
test example 25:	 1    	 0    	0	0
test example 26:	 1    	 0    	0	0
test example 27:	 1    	 0    	0	0
test example 28:	 1    	 0    	0	0
test example 29:	 1    	 0    	0	0
test example 30:	 1    	 0    	0	0
test example 31:	 1    	 0    	0	0
test example 32:	 1    	 0    	0	0
test example 33:	 1    	 0    	0	0
test example 34:	 1    	 0    	0	0
test example 35:	 1    	 0    	0	0
test example 36:	 1    	 0    	0	0
test example 37:	 1    	 0    	0	0
test example 38:	 1    	 0    	0	0
test example 39:	 1    	 0    	0	0
test example 40:	 1    	 0    	0	0
test example 41:	 1    	 0    	0	0
test example 42:	 1    	 0    	0	0
test example 43:	 1    	 0    	0	0
test example 44:	 1    	 0    	0	0
test example 45:	 1    	 0    	0	0
test example 46:	 1    	 0    	0	0
test example 47:	 1    	 0    	0	0
test example 48:	 1    	 0    	0	0
test example 49:	 1    	 0    	0	0
test example 50:	 1    	 0    	0	0
test example 51:	 1    	 0    	0	0
test example 52:	 1    	 0    	0	0
test example 53:	 1    	 0    	0	0
test example 54:	 1    	 0    	0	0
test example 55:	 1    	 0    	0	0
test example 56:	 1    	 0    	0	0
test example 57:	 1    	 0    	0	0
test example 58:	 1    	 0    	0	0
test example 59:	 1    	 0    	0	0
test example 60:	 1    	 0    	0	0
test example 61:	 1    	 0    	0	0
test example 62:	 1    	 0    	0	0
test example 63:	 1    	 0    	0	0
test example 64:	 1    	 0    	0	0
test example 65:	 1    	 0    	0	0
test example 66:	 1    	 0    	0	0
test example 67:	 1    	 0    	0	0
test example 68:	 1    	 0    	0	0
test example 69:	 1    	 0    	0	0
test example 70:	 1    	 0    	0	0
test example 71:	 1    	 0    	0	0
test example 72:	 1    	 0    	0	0
test example 73:	 1    	 0    	0	0
test example 74:	 1    	 0    	0	0
test example 75:	 1    	 0    	0	0
test example 76:	 1    	 0    	0	0
test example 77:	 1    	 0    	0	0
test example 78:	 1    	 0    	0	0
test example 79:	 1    	 0    	0	0
test example 80:	 1    	 0    	0	0
test example 81:	 1    	 0    	0	0
test example 82:	 1    	 0    	0	0
test example 83:	 1    	 0    	0	0
test example 84:	 1    	 0    	0	0
test example 85:	 1    	 0    	0	0
test example 86:	 1    	 0    	0	0
test example 87:	 1    	 0    	0	0
test example 88:	 1    	 0    	0	0
test example 89:	 1    	 0    	0	0
test example 90:	 1    	 0    	0	0
test example 91:	 1    	 0    	0	0
test example 92:	 1    	 0    	0	0
test example 93:	 1    	 0    	0	0
test example 94:	 1    	 0    	0	0
test example 95:	 1    	 0    	0	0
test example 96:	 1    	 0    	0	0
test example 97:	 1    	 0    	0	0
test example 98:	 1    	 0    	0	0
test example 99:	 1    	 0    	0	0
test example 100:	 1    	 0    	0	0
test example 101:	 1    	 0    	0	0
test example 102:	 1    	 0    	0	0
test example 103:	 1    	 0    	0	0
test example 104:	 1    	 0    	0	0
test example 105:	 1    	 0    	0	0
test example 106:	 1    	 0    	0	0
test example 107:	 1    	 0    	0	0
test example 108:	 1    	 0    	0	0
test example 109:	 1    	 0    	0	0
test example 110:	 1    	 0    	0	0
test example 111:	 1    	 0    	0	0
test example 112:	 1    	 0    	0	0
test example 113:	 1    	 0    	0	0
test example 114:	 1    	 0    	0	0
test example 115:	 1    	 0    	0	0
test example 116:	 1    	 0    	0	0
test example 117:	 1    	 0    	0	0
test example 118:	 1    	 0    	0	0
test example 119:	 1    	 0    	0	0
test example 120:	 1    	 0    	0	0
test example 121:	 1    	 0    	0	0
test example 122:	 1    	 0    	0	0
test example 123:	 1    	 0    	0	0
test example 124:	 1    	 0    	0	0
test example 125:	 1    	 0    	0	0
test example 126:	 1    	 0    	0	0
test example 127:	 1    	 0    	0	0
test example 128:	 1    	 0    	0	0
test example 129:	 1    	 0    	0	0
test example 130:	 1    	 0    	0	0
test example 131:	 1    	 0    	0	0
test example 132:	 1    	 0    	0	0
test example 133:	 1    	 0    	0	0
test example 134:	 1    	 0    	0	0
test example 135:	 1    	 0    	0	0
test example 136:	 1    	 0    	0	0
test example 137:	 1    	 0    	0	0
test example 138:	 1    	 0    	0	0
test example 139:	 1    	 0    	0	0
test example 140:	 1    	 0    	0	0
test example 141:	 1    	 0    	0	0
test example 142:	 1    	 0    	0	0
test example 143:	 1    	 0    	0	0
test example 144:	 1    	 0    	0	0
test example 145:	 1    	 0    	0	0
test example 146:	 1    	 0    	0	0
test example 147:	 1    	 0    	0	0
test example 148:	 1    	 0    	0	0
test example 149:	 1    	 0    	0	0
test example 150:	 1    	 0    	0	0
test example 151:	 1    	 0    	0	0
test example 152:	 1    	 0    	0	0
test example 153:	 1    	 0    	0	0
test example 154:	 1    	 0    	0	0
test example 155:	 1    	 0    	0	0
test example 156:	 1    	 0    	0	0
test example 157:	 1    	 0    	0	0
test example 158:	 1    	 0    	0	0
test example 159:	 1    	 0    	0	0
test example 160:	 1    	 0    	0	0
test example 161:	 1    	 0    	0	0
test example 162:	 1    	 0    	0	0
test example 163:	 1    	 0    	0	0
test example 164:	 1    	 0    	0	0
test example 165:	 1    	 0    	0	0
test example 166:	 1    	 0    	0	0
test example 167:	 1    	 0    	0	0
test example 168:	 1    	 0    	0	0
test example 169:	 1    	 0    	0	0
test example 170:	 1    	 0    	0	0
test example 171:	 1    	 0    	0	0
test example 172:	 1    	 0    	0	0
test example 173:	 1    	 0    	0	0
test example 174:	 1    	 0    	0	0
test example 175:	 1    	 0    	0	0
test example 176:	 1    	 0    	0	0
test example 177:	 1    	 0    	0	0
test example 178:	 1    	 0    	0	0
test example 179:	 1    	 0    	0	0
test example 180:	 1    	 0    	0	0
test example 181:	 1    	 0    	0	0
test example 182:	 1    	 0    	0	0
test example 183:	 1    	 0    	0	0
test example 184:	 1    	 0    	0	0
test example 185:	 1    	 0    	0	0
test example 186:	 1    	 0    	0	0
test example 187:	 1    	 0    	0	0
test example 188:	 1    	 0    	0	0
test example 189:	 1    	 0    	0	0
test example 190:	 1    	 0    	0	0
test example 191:	 1    	 0    	0	0
test example 192:	 1    	 0    	0	0
test example 193:	 1    	 0    	0	0
test example 194:	 1    	 0    	0	0
test example 195:	 1    	 0    	0	0
test example 196:	 1    	 0    	0	0
test example 197:	 1    	 0    	0	0
test example 198:	 1    	 0    	0	0
test example 199:	 1    	 0    	0	0
test example 200:	 1    	 0    	0	0
test example 201:	 1    	 0    	0	0
test example 202:	 1    	 0    	0	0
test example 203:	 1    	 0    	0	0
test example 204:	 1    	 0    	0	0
test example 205:	 1    	 0    	0	0
test example 206:	 1    	 0    	0	0
test example 207:	 1    	 0    	0	0
test example 208:	 1    	 0    	0	0
test example 209:	 1    	 0    	0	0
test example 210:	 1    	 0    	0	0
test example 211:	 1    	 0    	0	0
test example 212:	 1    	 0    	0	0
test example 213:	 1    	 0    	0	0
test example 214:	 1    	 0    	0	0
test example 215:	 1    	 0    	0	0
test example 216:	 1    	 0    	0	0
test example 217:	 1    	 0    	0	0
test example 218:	 1    	 0    	0	0
test example 219:	 1    	 0    	0	0
test example 220:	 1    	 0    	0	0
test example 221:	 1    	 0    	0	0
test example 222:	 1    	 0    	0	0
test example 223:	 1    	 0    	0	0
test example 224:	 1    	 0    	0	0
test example 225:	 1    	 0    	0	0
test example 226:	 1    	 0    	0	0
test example 227:	 1    	 0    	0	0
test example 228:	 1    	 0    	0	0
test example 229:	 1    	 0    	0	0
test example 230:	 1    	 0    	0	0
test example 231:	 1    	 0    	0	0
test example 232:	 1    	 0    	0	0
test example 233:	 1    	 0    	0	0
test example 234:	 1    	 0    	0	0
test example 235:	 1    	 0    	0	0
test example 236:	 1    	 0    	0	0
test example 237:	 1    	 0    	0	0
test example 238:	 1    	 0    	0	0
test example 239:	 1    	 0    	0	0
test example 240:	 1    	 0    	0	0
test example 241:	 1    	 0    	0	0
test example 242:	 1    	 0    	0	0
test example 243:	 1    	 0    	0	0
test example 244:	 1    	 0    	0	0
test example 245:	 1    	 0    	0	0
test example 246:	 1    	 0    	0	0
test example 247:	 1    	 0    	0	0
test example 248:	 1    	 0    	0	0
test example 249:	 1    	 0    	0	0
test example 250:	 1    	 0    	0	0
test example 251:	 1    	 0    	0	0
test example 252:	 1    	 0    	0	0
test example 253:	 1    	 0    	0	0
test example 254:	 1    	 0    	0	0
test example 255:	 1    	 0    	0	0
test example 256:	 1    	 0    	0	0
test example 257:	 1    	 0    	0	0
test example 258:	 1    	 0    	0	0
test example 259:	 1    	 0    	0	0
test example 260:	 1    	 0    	0	0
test example 261:	 1    	 0    	0	0
test example 262:	 1    	 0    	0	0
test example 263:	 1    	 0    	0	0
test example 264:	 1    	 0    	0	0
test example 265:	 1    	 0    	0	0
test example 266:	 1    	 0    	0	0
test example 267:	 1    	 0    	0	0
test example 268:	 1    	 0    	0	0
test example 269:	 1    	 0    	0	0
test example 270:	 1    	 0    	0	0
test example 271:	 1    	 0    	0	0
test example 272:	 1    	 0    	0	0
test example 273:	 1    	 0    	0	0
test example 274:	 1    	 0    	0	0
test example 275:	 1    	 0    	0	0
test example 276:	 1    	 0    	0	0
test example 277:	 1    	 0    	0	0
test example 278:	 1    	 0    	0	0
test example 279:	 1    	 0    	0	0
test example 280:	 1    	 0    	0	0
test example 281:	 1    	 0    	0	0
test example 282:	 1    	 0    	0	0
test example 283:	 1    	 0    	0	0
test example 284:	 1    	 0    	0	0
test example 285:	 1    	 0    	0	0
test example 286:	 1    	 0    	0	0
test example 287:	 1    	 0    	0	0
test example 288:	 1    	 0    	0	0
test example 289:	 1    	 0    	0	0
test example 290:	 1    	 0    	0	0
test example 291:	 1    	 0    	0	0
test example 292:	 1    	 0    	0	0
test example 293:	 1    	 0    	0	0
test example 294:	 1    	 0    	0	0
test example 295:	 1    	 0    	0	0
test example 296:	 1    	 0    	0	0
test example 297:	 1    	 0    	0	0
test example 298:	 1    	 0    	0	0
test example 299:	 1    	 0    	0	0
test example 300:	 1    	 0    	0	0
test example 301:	 1    	 0    	0	0
test example 302:	 1    	 0    	0	0
test example 303:	 1    	 0    	0	0
test example 304:	 1    	 0    	0	0
test example 305:	 1    	 0    	0	0
test example 306:	 1    	 0    	0	0
test example 307:	 1    	 0    	0	0
test example 308:	 1    	 0    	0	0
test example 309:	 1    	 0    	0	0
test example 310:	 1    	 0    	0	0
test example 311:	 1    	 0    	0	0
test example 312:	 1    	 0    	0	0
test example 313:	 1    	 0    	0	0
test example 314:	 1    	 0    	0	0
test example 315:	 1    	 0    	0	0
test example 316:	 1    	 0    	0	0
test example 317:	 1    	 0    	0	0
test example 318:	 1    	 0    	0	0
test example 319:	 1    	 0    	0	0
test example 320:	 1    	 0    	0	0
test example 321:	 1    	 0    	0	0
test example 322:	 1    	 0    	0	0
test example 323:	 1    	 0    	0	0
test example 324:	 1    	 0    	0	0
test example 325:	 1    	 0    	0	0
test example 326:	 1    	 0    	0	0
test example 327:	 1    	 0    	0	0
test example 328:	 1    	 0    	0	0
test example 329:	 1    	 0    	0	0
test example 330:	 1    	 0    	0	0
test example 331:	 1    	 0    	0	0
test example 332:	 1    	 0    	0	0
test example 333:	 1    	 0    	0	0
test example 334:	 1    	 0    	0	0
test example 335:	 1    	 0    	0	0
test example 336:	 1    	 0    	0	0
test example 337:	 1    	 0    	0	0
test example 338:	 1    	 0    	0	0
test example 339:	 1    	 0    	0	0
test example 340:	 1    	 0    	0	0
test example 341:	 1    	 0    	0	0
test example 342:	 1    	 0    	0	0
test example 343:	 1    	 0    	0	0
test example 344:	 1    	 0    	0	0
test example 345:	 1    	 0    	0	0
test example 346:	 1    	 0    	0	0
test example 347:	 1    	 0    	0	0
test example 348:	 1    	 0    	0	0
test example 349:	 1    	 0    	0	0
test example 350:	 1    	 0    	0	0
test example 351:	 1    	 0    	0	0
test example 352:	 1    	 0    	0	0
test example 353:	 1    	 0    	0	0
test example 354:	 1    	 0    	0	0
test example 355:	 1    	 0    	0	0
test example 356:	 1    	 0    	0	0
test example 357:	 1    	 0    	0	0
test example 358:	 1    	 0    	0	0
test example 359:	 1    	 0    	0	0
test example 360:	 1    	 0    	0	0
test example 361:	 1    	 0    	0	0
test example 362:	 1    	 0    	0	0
test example 363:	 1    	 0    	0	0
test example 364:	 1    	 0    	0	0
test example 365:	 1    	 0    	0	0
test example 366:	 1    	 0    	0	0
test example 367:	 1    	 0    	0	0
test example 368:	 1    	 0    	0	0
test example 369:	 1    	 0    	0	0
test example 370:	 1    	 0    	0	0
test example 371:	 1    	 0    	0	0
test example 372:	 1    	 0    	0	0
test example 373:	 1    	 0    	0	0
test example 374:	 1    	 0    	0	0
test example 375:	 1    	 0    	0	0
test example 376:	 1    	 0    	0	0
test example 377:	 1    	 0    	0	0
test example 378:	 1    	 0    	0	0
test example 379:	 1    	 0    	0	0
test example 380:	 1    	 0    	0	0
test example 381:	 1    	 0    	0	0
test example 382:	 1    	 0    	0	0
test example 383:	 1    	 0    	0	0
test example 384:	 1    	 0    	0	0
test example 385:	 1    	 0    	0	0
test example 386:	 1    	 0    	0	0
test example 387:	 1    	 0    	0	0
test example 388:	 1    	 0    	0	0
test example 389:	 1    	 0    	0	0
test example 390:	 1    	 0    	0	0
test example 391:	 1    	 0    	0	0
test example 392:	 1    	 0    	0	0
test example 393:	 1    	 0    	0	0
test example 394:	 1    	 0    	0	0
test example 395:	 1    	 0    	0	0
test example 396:	 1    	 0    	0	0
test example 397:	 1    	 0    	0	0
test example 398:	 1    	 0    	0	0
test example 399:	 1    	 0    	0	0
test example 400:	 1    	 0    	0	0
test example 401:	 1    	 0    	0	0
test example 402:	 1    	 0    	0	0
test example 403:	 1    	 0    	0	0
test example 404:	 1    	 0    	0	0
test example 405:	 1    	 0    	0	0
test example 406:	 1    	 0    	0	0
test example 407:	 1    	 0    	0	0
test example 408:	 1    	 0    	0	0
test example 409:	 1    	 0    	0	0
test example 410:	 1    	 0    	0	0
test example 411:	 1    	 0    	0	0
test example 412:	 1    	 0    	0	0
test example 413:	 1    	 0    	0	0
test example 414:	 1    	 0    	0	0
test example 415:	 1    	 0    	0	0
test example 416:	 1    	 0    	0	0
test example 417:	 1    	 0    	0	0
test example 418:	 1    	 0    	0	0
test example 419:	 1    	 0    	0	0
test example 420:	 1    	 0    	0	0
test example 421:	 1    	 0    	0	0
test example 422:	 1    	 0    	0	0
test example 423:	 1    	 0    	0	0
test example 424:	 1    	 0    	0	0
test example 425:	 1    	 0    	0	0
test example 426:	 1    	 0    	0	0
test example 427:	 1    	 0    	0	0
test example 428:	 1    	 0    	0	0
test example 429:	 1    	 0    	0	0
test example 430:	 1    	 0    	0	0
test example 431:	 1    	 0    	0	0
test example 432:	 1    	 0    	0	0
test example 433:	 1    	 0    	0	0
test example 434:	 1    	 0    	0	0
test example 435:	 1    	 0    	0	0
test example 436:	 1    	 0    	0	0
test example 437:	 1    	 0    	0	0
test example 438:	 1    	 0    	0	0
test example 439:	 1    	 0    	0	0
test example 440:	 1    	 0    	0	0
test example 441:	 1    	 0    	0	0
test example 442:	 1    	 0    	0	0
test example 443:	 1    	 0    	0	0
test example 444:	 1    	 0    	0	0
test example 445:	 1    	 0    	0	0
test example 446:	 1    	 0    	0	0
test example 447:	 1    	 0    	0	0
test example 448:	 1    	 0    	0	0
test example 449:	 1    	 0    	0	0
test example 450:	 1    	 0    	0	0
test example 451:	 1    	 0    	0	0
test example 452:	 1    	 0    	0	0
test example 453:	 1    	 0    	0	0
test example 454:	 1    	 0    	0	0
test example 455:	 0.529	 0.471	0	0
test example 456:	 1    	 0    	0	0
test example 457:	 1    	 0    	0	0
test example 458:	 1    	 0    	0	0
test example 459:	 1    	 0    	0	0
test example 460:	 1    	 0    	0	0
test example 461:	 1    	 0    	0	0
test example 462:	 1    	 0    	0	0
test example 463:	 1    	 0    	0	0
test example 464:	 1    	 0    	0	0
test example 465:	 1    	 0    	0	0
test example 466:	 1    	 0    	0	0
test example 467:	 1    	 0    	0	0
test example 468:	 1    	 0    	0	0
test example 469:	 1    	 0    	0	0
test example 470:	 1    	 0    	0	0
test example 471:	 1    	 0    	0	0
test example 472:	 1    	 0    	0	0
test example 473:	 1    	 0    	0	0
test example 474:	 1    	 0    	0	0
test example 475:	 1    	 0    	0	0
test example 476:	 1    	 0    	0	0
test example 477:	 1    	 0    	0	0
test example 478:	 1    	 0    	0	0
test example 479:	 1    	 0    	0	0
test example 480:	 1    	 0    	0	0
test example 481:	 1    	 0    	0	0
test example 482:	 1    	 0    	0	0
test example 483:	 1    	 0    	0	0
test example 484:	 1    	 0    	0	0
test example 485:	 1    	 0    	0	0
test example 486:	 1    	 0    	0	0
test example 487:	 1    	 0    	0	0
test example 488:	 1    	 0    	0	0
test example 489:	 1    	 0    	0	0
test example 490:	 1    	 0    	0	0
test example 491:	 1    	 0    	0	0
test example 492:	 1    	 0    	0	0
test example 493:	 1    	 0    	0	0

----------------------Bias-Variance Decomposition-------------------
Classifier:	SKDB_R
Dataset : train
RMSE : 0.0212
Error : 0     
Training time :   8406
Testing time :    770
